"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2021-06-15T00:00:00.000Z,"188","16",20,8,0
2021-06-16T00:00:00.000Z,"189","16",20,8,0
2021-06-17T00:00:00.000Z,"196","16",20,8,0
2021-06-18T00:00:00.000Z,"206","16",20,8,0
2021-06-19T00:00:00.000Z,"232","16",20,8,0
2021-06-20T00:00:00.000Z,"261","16",20,8,0
2021-06-21T00:00:00.000Z,"234","16",20,8,0
2021-06-22T00:00:00.000Z,"236","16",20,8,0
2021-06-23T00:00:00.000Z,"214","16",20,8,0
2021-06-24T00:00:00.000Z,"187","16",20,8,0
2021-06-25T00:00:00.000Z,"195","16",20,8,0
2021-06-26T00:00:00.000Z,"211","16",20,8,0
2021-06-27T00:00:00.000Z,"199","16",20,8,0
2021-06-28T00:00:00.000Z,"220","16",20,8,0
2021-06-29T00:00:00.000Z,"223","16",20,8,0
2021-06-30T00:00:00.000Z,"231","16",20,8,0
2021-07-01T00:00:00.000Z,"233","16",20,8,0
2021-07-02T00:00:00.000Z,"226","16",20,8,0
2021-07-03T00:00:00.000Z,"206","16",20,8,0
2021-07-04T00:00:00.000Z,"228","16",20,8,0
2021-07-05T00:00:00.000Z,"247","16",20,8,0
2021-07-06T00:00:00.000Z,"237","16",20,8,0
2021-07-07T00:00:00.000Z,"209","16",20,8,0
2021-07-08T00:00:00.000Z,"206","16",20,8,0
2021-07-09T00:00:00.000Z,"210","16",20,8,0
2021-07-10T00:00:00.000Z,"205","16",20,8,0
2021-07-11T00:00:00.000Z,"204","16",20,8,0
2021-07-12T00:00:00.000Z,"226","16",20,8,0
2021-07-13T00:00:00.000Z,"307","16",20,8,0
2021-07-14T00:00:00.000Z,"450","16",20,8,0
2021-07-15T00:00:00.000Z,"450","16",20,8,0
2021-07-16T00:00:00.000Z,"364","16",20,8,0
2021-07-17T00:00:00.000Z,"444","16",20,8,0
2021-07-18T00:00:00.000Z,"490","16",20,8,0
2021-07-19T00:00:00.000Z,"481","16",20,8,0
2021-07-20T00:00:00.000Z,"439","16",20,8,0
2021-07-21T00:00:00.000Z,"471","16",20,8,0
2021-07-22T00:00:00.000Z,"446","16",20,8,0
2021-07-23T00:00:00.000Z,"452","16",20,8,0
2021-07-24T00:00:00.000Z,"452","16",20,8,0
2021-07-25T00:00:00.000Z,"476","16",20,8,0
2021-07-26T00:00:00.000Z,"537","16",20,8,0
2021-07-27T00:00:00.000Z,"534","16",20,8,0
2021-07-28T00:00:00.000Z,"468","16",20,8,0
