latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.822495,2.2881355,43.0,7200,Europe/Berlin,GMT+2

time,precipitation_sum (mm),temperature_2m_mean (°C),et0_fao_evapotranspiration (mm)
2021-01-01,0.00,0.3,0.32
2021-01-02,0.00,0.4,0.29
2021-01-03,0.20,1.8,0.27
2021-01-04,0.30,1.8,0.22
2021-01-05,0.50,1.8,0.25
2021-01-06,0.60,2.3,0.23
2021-01-07,0.50,1.6,0.25
2021-01-08,0.00,0.6,0.34
2021-01-09,0.00,0.4,0.42
2021-01-10,0.00,-0.2,0.36
2021-01-11,0.00,1.4,0.29
2021-01-12,9.10,6.6,0.41
2021-01-13,1.80,7.3,0.30
2021-01-14,5.70,8.7,0.47
2021-01-15,0.70,1.7,0.67
2021-01-16,7.20,0.5,0.28
2021-01-17,1.00,4.5,0.45
2021-01-18,0.00,4.2,0.63
2021-01-19,5.10,5.5,0.65
2021-01-20,0.30,9.2,2.09
2021-01-21,9.50,8.9,1.14
2021-01-22,5.40,5.3,0.52
2021-01-23,5.60,3.0,0.28
2021-01-24,3.30,1.0,0.25
2021-01-25,0.40,2.2,0.65
2021-01-26,0.30,1.5,0.62
2021-01-27,4.20,5.4,0.40
2021-01-28,8.40,11.2,0.74
2021-01-29,3.60,10.1,1.15
2021-01-30,11.90,9.4,0.71
2021-01-31,10.60,8.5,0.40
2021-02-01,2.20,8.5,0.61
2021-02-02,2.20,10.9,0.93
2021-02-03,4.60,10.7,1.09
2021-02-04,2.50,8.0,0.56
2021-02-05,0.30,8.1,0.68
2021-02-06,16.50,7.3,0.31
2021-02-07,3.90,3.7,0.36
2021-02-08,0.20,-0.5,0.55
2021-02-09,0.20,-2.0,0.59
2021-02-10,2.60,-3.3,1.13
2021-02-11,0.00,-3.2,1.17
2021-02-12,0.00,-2.3,1.34
2021-02-13,0.00,-3.5,1.38
2021-02-14,0.00,-1.6,1.46
2021-02-15,4.00,4.2,0.82
2021-02-16,1.30,7.7,1.12
2021-02-17,0.00,9.1,0.98
2021-02-18,6.80,8.6,0.87
2021-02-19,0.00,8.3,1.00
2021-02-20,0.00,12.2,2.24
2021-02-21,0.00,11.4,2.19
2021-02-22,0.30,11.7,1.47
2021-02-23,0.00,13.0,1.71
2021-02-24,0.00,12.8,1.89
2021-02-25,0.10,12.0,1.67
2021-02-26,3.10,8.9,1.29
2021-02-27,0.00,5.1,1.55
2021-02-28,0.00,5.5,1.60
2021-03-01,0.00,5.9,1.69
2021-03-02,0.00,7.4,1.81
2021-03-03,1.10,10.0,1.73
2021-03-04,0.70,8.9,1.13
2021-03-05,0.00,4.5,1.30
2021-03-06,0.00,3.5,2.11
2021-03-07,0.00,2.3,1.75
2021-03-08,0.00,2.2,1.62
2021-03-09,0.10,4.8,1.59
2021-03-10,1.40,5.3,1.37
2021-03-11,2.50,10.2,1.95
2021-03-12,5.20,7.5,1.71
2021-03-13,6.70,7.8,1.78
2021-03-14,1.90,6.4,1.71
2021-03-15,5.50,8.3,1.59
2021-03-16,3.10,7.0,0.55
2021-03-17,2.30,7.1,1.35
2021-03-18,1.80,5.3,0.79
2021-03-19,2.40,5.3,1.77
2021-03-20,0.00,3.7,1.54
2021-03-21,0.70,6.1,1.40
2021-03-22,0.00,5.3,1.50
2021-03-23,0.00,6.5,2.21
2021-03-24,0.00,8.5,2.72
2021-03-25,0.50,8.5,1.38
2021-03-26,2.70,8.9,2.13
2021-03-27,0.10,7.5,1.86
2021-03-28,0.00,9.6,2.79
2021-03-29,0.00,11.9,3.27
2021-03-30,0.00,13.3,3.35
2021-03-31,0.00,15.1,3.53
2021-04-01,0.00,15.8,3.70
2021-04-02,0.00,9.4,2.95
2021-04-03,0.00,6.8,2.42
2021-04-04,0.00,6.5,2.58
2021-04-05,1.10,5.0,1.09
2021-04-06,0.90,2.3,2.21
2021-04-07,0.00,3.4,2.42
2021-04-08,0.00,6.4,2.36
2021-04-09,4.90,9.0,2.48
2021-04-10,16.40,10.2,1.14
2021-04-11,1.90,6.1,1.20
2021-04-12,0.10,5.0,2.39
2021-04-13,0.00,5.3,2.82
2021-04-14,0.00,5.6,2.74
2021-04-15,0.30,5.5,2.69
2021-04-16,0.00,5.7,2.18
2021-04-17,0.00,8.6,2.93
2021-04-18,0.00,7.6,2.35
2021-04-19,0.00,9.2,3.00
2021-04-20,0.20,11.3,3.21
2021-04-21,0.70,11.3,3.19
2021-04-22,0.00,10.8,3.87
2021-04-23,0.00,11.2,4.42
2021-04-24,0.00,12.1,4.67
2021-04-25,0.00,11.2,4.53
2021-04-26,0.00,11.3,4.77
2021-04-27,0.00,11.5,4.42
2021-04-28,0.70,11.8,2.90
2021-04-29,0.80,9.8,2.64
2021-04-30,0.10,9.3,2.40
2021-05-01,3.50,8.5,1.59
2021-05-02,1.70,8.5,3.03
2021-05-03,0.00,10.4,3.62
2021-05-04,2.80,11.0,2.63
2021-05-05,2.00,8.9,3.04
2021-05-06,5.90,8.3,1.23
2021-05-07,0.10,9.8,3.35
2021-05-08,0.60,13.9,3.23
2021-05-09,0.50,18.8,5.00
2021-05-10,4.90,15.0,3.53
2021-05-11,0.70,12.2,2.48
2021-05-12,1.30,11.6,2.72
2021-05-13,4.10,11.4,2.70
2021-05-14,1.50,10.5,2.30
2021-05-15,4.00,11.5,2.24
2021-05-16,6.70,12.3,2.56
2021-05-17,5.20,12.0,2.68
2021-05-18,0.80,12.0,3.02
2021-05-19,5.30,11.2,2.77
2021-05-20,0.00,12.0,2.95
2021-05-21,0.40,13.6,4.12
2021-05-22,2.60,12.2,3.87
2021-05-23,0.10,12.3,3.46
2021-05-24,5.20,12.2,3.52
2021-05-25,2.50,11.2,3.25
2021-05-26,8.50,11.7,2.12
2021-05-27,0.00,13.0,3.84
2021-05-28,0.00,14.7,4.41
2021-05-29,0.00,15.8,4.36
2021-05-30,0.00,16.7,5.23
2021-05-31,0.00,17.5,5.65
2021-06-01,0.00,19.0,5.57
2021-06-02,3.10,19.9,4.10
2021-06-03,2.50,20.6,3.70
2021-06-04,11.50,17.2,2.01
2021-06-05,0.40,16.5,3.42
2021-06-06,0.00,17.0,4.04
2021-06-07,0.00,18.1,4.02
2021-06-08,0.00,18.5,4.60
2021-06-09,0.00,20.1,5.05
2021-06-10,0.00,20.7,5.02
2021-06-11,0.10,20.3,4.87
2021-06-12,0.00,19.1,4.05
2021-06-13,0.00,19.9,5.90
2021-06-14,0.00,21.7,6.09
2021-06-15,0.00,22.9,5.66
2021-06-16,0.00,25.3,6.14
2021-06-17,6.50,24.0,4.49
2021-06-18,4.00,22.1,4.45
2021-06-19,8.70,20.0,2.74
2021-06-20,0.90,19.4,3.64
2021-06-21,1.20,19.6,4.26
2021-06-22,10.30,16.0,2.48
2021-06-23,0.50,14.6,2.29
2021-06-24,0.00,15.2,3.11
2021-06-25,11.10,15.7,3.02
2021-06-26,9.80,17.4,2.52
2021-06-27,6.90,18.5,2.36
2021-06-28,5.20,18.2,3.56
2021-06-29,4.60,15.3,2.38
2021-06-30,3.40,15.2,1.80
2021-07-01,0.10,16.5,2.69
2021-07-02,0.90,19.2,4.04
2021-07-03,1.00,20.2,3.69
2021-07-04,16.30,17.6,2.62
2021-07-05,5.00,17.8,2.55
2021-07-06,3.60,18.5,4.34
2021-07-07,0.70,17.3,3.69
2021-07-08,0.70,17.4,3.69
2021-07-09,0.10,17.8,3.44
2021-07-10,3.20,17.2,2.05
2021-07-11,0.40,17.9,3.52
2021-07-12,11.50,17.8,2.39
2021-07-13,24.80,16.7,1.26
2021-07-14,8.00,17.0,1.95
2021-07-15,0.00,19.7,4.15
2021-07-16,0.20,17.2,2.71
2021-07-17,0.00,18.3,3.31
2021-07-18,0.00,21.4,5.47
2021-07-19,0.00,22.4,5.46
2021-07-20,0.00,21.8,5.30
2021-07-21,0.20,21.9,5.06
2021-07-22,0.00,22.2,5.61
2021-07-23,0.00,22.8,5.21
2021-07-24,0.40,21.6,4.56
2021-07-25,9.80,18.7,2.81
2021-07-26,3.40,18.5,2.78
2021-07-27,5.50,17.9,1.79
2021-07-28,0.20,18.7,4.13
2021-07-29,0.00,18.4,3.96
2021-07-30,0.10,18.5,4.26
2021-07-31,0.20,17.8,3.77
2021-08-01,0.80,17.8,4.29
2021-08-02,3.20,17.7,3.35
2021-08-03,2.00,16.2,2.35
2021-08-04,4.60,15.6,2.34
2021-08-05,1.20,18.1,3.15
2021-08-06,1.00,18.5,3.58
2021-08-07,1.30,17.5,3.70
2021-08-08,0.10,17.1,4.04
2021-08-09,0.70,17.5,2.91
2021-08-10,1.90,19.3,3.13
2021-08-11,0.00,19.8,4.09
2021-08-12,0.00,21.5,4.30
2021-08-13,0.00,21.4,4.60
2021-08-14,0.00,21.4,4.90
2021-08-15,0.10,22.5,4.98
2021-08-16,1.30,18.2,3.11
2021-08-17,0.20,16.6,2.61
2021-08-18,0.80,18.0,2.36
2021-08-19,0.10,17.4,1.97
2021-08-20,0.00,18.8,2.96
2021-08-21,0.10,20.2,3.53
2021-08-22,0.40,18.5,3.35
2021-08-23,0.50,18.0,2.57
2021-08-24,0.00,18.8,4.40
2021-08-25,0.00,18.5,4.78
2021-08-26,0.20,16.6,2.44
2021-08-27,0.00,17.0,3.53
2021-08-28,0.70,16.1,2.66
2021-08-29,0.50,16.1,2.49
2021-08-30,0.40,17.5,2.68
2021-08-31,0.20,18.0,3.32
2021-09-01,0.00,17.5,3.59
2021-09-02,0.00,18.0,4.27
2021-09-03,0.50,19.7,3.78
2021-09-04,2.10,20.7,2.92
2021-09-05,0.80,21.7,3.41
2021-09-06,0.00,21.9,4.12
2021-09-07,0.00,22.3,5.02
2021-09-08,0.00,23.3,4.46
2021-09-09,2.30,22.1,3.31
2021-09-10,10.20,19.5,1.92
2021-09-11,0.00,17.8,2.76
2021-09-12,0.00,17.3,2.58
2021-09-13,0.00,18.6,3.00
2021-09-14,11.40,20.0,1.76
2021-09-15,20.20,18.9,1.51
2021-09-16,0.00,17.1,2.23
2021-09-17,0.00,16.9,2.89
2021-09-18,0.40,17.1,2.49
2021-09-19,0.80,17.3,2.15
2021-09-20,12.30,16.0,1.42
2021-09-21,0.00,14.3,2.17
2021-09-22,0.00,13.8,2.65
2021-09-23,0.00,14.9,2.74
2021-09-24,0.00,15.9,1.67
2021-09-25,0.50,16.4,2.22
2021-09-26,2.90,17.3,1.57
2021-09-27,3.60,15.9,1.36
2021-09-28,0.00,13.7,2.25
2021-09-29,4.90,13.3,2.26
2021-09-30,0.00,11.9,2.21
2021-10-01,4.90,12.8,1.73
2021-10-02,6.50,14.9,1.48
2021-10-03,20.80,15.4,1.38
2021-10-04,0.20,12.9,2.27
2021-10-05,5.60,13.4,1.44
2021-10-06,0.00,12.8,2.42
2021-10-07,0.00,12.0,1.24
2021-10-08,0.00,12.4,2.06
2021-10-09,0.00,12.4,1.96
2021-10-10,0.00,11.2,1.93
2021-10-11,0.00,12.6,1.65
2021-10-12,0.00,10.8,1.49
2021-10-13,0.00,9.9,1.49
2021-10-14,0.00,9.0,1.65
2021-10-15,0.00,10.6,1.44
2021-10-16,0.00,10.5,1.66
2021-10-17,0.00,9.2,1.47
2021-10-18,1.00,11.5,1.19
2021-10-19,2.40,17.6,2.42
2021-10-20,1.40,17.5,2.16
2021-10-21,5.50,11.1,1.52
2021-10-22,0.10,8.2,1.27
2021-10-23,0.10,9.9,1.27
2021-10-24,0.00,7.7,1.35
2021-10-25,2.20,10.6,0.91
2021-10-26,0.00,11.3,0.94
2021-10-27,0.00,11.2,1.29
2021-10-28,0.00,11.3,1.64
2021-10-29,5.60,12.9,1.22
2021-10-30,7.30,12.9,0.56
2021-10-31,3.40,12.1,0.84
2021-11-01,5.60,9.9,1.17
2021-11-02,1.00,8.9,0.96
2021-11-03,7.30,7.9,0.91
2021-11-04,0.90,7.0,0.79
2021-11-05,1.80,7.6,0.86
2021-11-06,0.00,5.5,0.88
2021-11-07,0.40,9.7,0.89
2021-11-08,0.00,7.8,0.87
2021-11-09,0.00,5.0,0.69
2021-11-10,0.00,4.3,0.50
2021-11-11,0.00,4.2,0.54
2021-11-12,0.00,5.9,0.72
2021-11-13,0.60,11.2,0.63
2021-11-14,0.10,10.1,0.59
2021-11-15,0.00,6.7,0.53
2021-11-16,0.10,7.0,0.37
2021-11-17,0.50,8.8,0.51
2021-11-18,0.00,5.4,0.51
2021-11-19,0.00,8.1,0.46
2021-11-20,0.00,8.1,0.39
2021-11-21,1.30,6.8,0.30
2021-11-22,0.00,4.6,0.70
2021-11-23,0.00,3.4,0.88
2021-11-24,0.00,3.9,0.38
2021-11-25,0.10,3.5,0.31
2021-11-26,2.20,4.4,0.46
2021-11-27,2.80,2.9,0.41
2021-11-28,1.40,3.8,0.67
2021-11-29,0.00,1.6,0.49
2021-11-30,3.00,5.6,0.58
2021-12-01,4.90,8.4,0.81
2021-12-02,0.60,3.7,0.69
2021-12-03,8.60,2.7,0.22
2021-12-04,6.20,8.7,0.59
2021-12-05,3.80,4.0,0.37
2021-12-06,4.40,4.8,0.42
2021-12-07,2.30,5.4,0.43
2021-12-08,1.00,4.6,0.62
2021-12-09,0.90,3.8,0.50
2021-12-10,11.90,5.9,0.85
2021-12-11,0.20,4.6,0.51
2021-12-12,0.50,8.3,0.23
2021-12-13,0.00,7.6,0.25
2021-12-14,0.00,4.9,0.23
2021-12-15,0.00,6.8,0.34
2021-12-16,0.00,7.2,0.37
2021-12-17,0.00,6.1,0.41
2021-12-18,0.00,4.6,0.46
2021-12-19,0.00,5.1,0.23
2021-12-20,0.20,4.9,0.40
2021-12-21,0.00,0.1,0.38
2021-12-22,0.00,-2.6,0.27
2021-12-23,0.00,3.1,0.48
2021-12-24,7.00,7.5,0.24
2021-12-25,0.70,8.0,0.27
2021-12-26,4.70,8.0,0.28
2021-12-27,4.50,9.3,0.44
2021-12-28,11.10,11.1,1.24
2021-12-29,4.90,12.2,0.52
2021-12-30,0.10,13.0,0.54
2021-12-31,0.00,10.6,0.57
2022-01-01,0.00,9.4,0.55
2022-01-02,1.20,11.6,1.09
2022-01-03,4.30,11.0,0.68
2022-01-04,18.40,8.9,0.41
2022-01-05,0.10,3.2,0.73
2022-01-06,0.10,2.2,0.61
2022-01-07,6.00,5.1,0.79
2022-01-08,9.80,5.8,0.39
2022-01-09,2.90,4.6,0.60
2022-01-10,0.00,2.7,0.25
2022-01-11,0.00,-0.2,0.39
2022-01-12,0.00,0.4,0.24
2022-01-13,0.00,2.3,0.27
2022-01-14,0.00,0.9,0.51
2022-01-15,0.00,0.6,0.31
2022-01-16,0.60,1.8,0.22
2022-01-17,0.10,5.2,0.33
2022-01-18,0.00,3.7,0.58
2022-01-19,2.00,4.1,0.34
2022-01-20,0.30,3.7,0.52
2022-01-21,0.00,2.6,0.38
2022-01-22,0.00,3.9,0.42
2022-01-23,0.20,3.8,0.39
2022-01-24,0.00,1.5,0.62
2022-01-25,0.00,-0.3,0.25
2022-01-26,0.00,1.0,0.26
2022-01-27,0.40,3.6,0.47
2022-01-28,0.10,5.2,0.42
2022-01-29,0.40,8.1,0.45
2022-01-30,0.30,7.8,0.80
2022-01-31,0.60,6.3,1.42
2022-02-01,0.80,6.0,0.50
2022-02-02,0.10,9.5,0.65
2022-02-03,0.00,6.5,0.55
2022-02-04,0.90,7.0,0.63
2022-02-05,0.00,5.4,1.15
2022-02-06,4.40,8.3,0.91
2022-02-07,0.20,6.5,1.24
2022-02-08,0.00,8.2,0.76
2022-02-09,0.00,5.3,0.94
2022-02-10,2.40,6.9,0.55
2022-02-11,0.00,3.5,0.82
2022-02-12,0.00,2.2,1.12
2022-02-13,0.00,5.9,1.62
2022-02-14,1.60,8.9,1.39
2022-02-15,1.30,6.8,0.98
2022-02-16,6.40,11.6,0.89
2022-02-17,0.60,11.5,2.09
2022-02-18,1.70,10.0,1.23
2022-02-19,0.50,6.1,1.98
2022-02-20,0.20,9.9,1.47
2022-02-21,2.20,8.0,1.90
2022-02-22,0.10,8.4,1.04
2022-02-23,0.10,7.8,1.05
2022-02-24,3.00,8.0,1.27
2022-02-25,0.50,5.2,1.60
2022-02-26,0.00,3.4,1.57
2022-02-27,0.00,3.8,1.79
2022-02-28,0.00,3.7,1.66
2022-03-01,0.30,5.2,0.74
2022-03-02,0.00,6.4,1.05
2022-03-03,0.40,7.8,0.93
2022-03-04,2.10,7.9,0.74
2022-03-05,0.00,7.0,1.29
2022-03-06,0.00,4.2,1.81
2022-03-07,0.00,2.5,1.86
2022-03-08,0.00,4.5,2.04
2022-03-09,0.00,7.8,2.00
2022-03-10,0.00,9.3,2.27
2022-03-11,2.70,9.6,1.35
2022-03-12,2.70,8.2,0.90
2022-03-13,5.50,8.4,1.08
2022-03-14,0.00,8.4,2.01
2022-03-15,9.10,9.5,0.76
2022-03-16,0.40,11.4,1.73
2022-03-17,0.50,8.8,1.80
2022-03-18,0.00,7.9,2.88
2022-03-19,0.00,10.0,3.28
2022-03-20,0.00,6.8,2.51
2022-03-21,0.00,10.2,2.43
2022-03-22,0.00,10.7,2.97
2022-03-23,0.00,9.7,2.96
2022-03-24,0.00,10.5,3.04
2022-03-25,0.00,11.2,3.41
2022-03-26,0.00,11.3,3.48
2022-03-27,0.00,12.0,3.23
2022-03-28,0.00,11.8,2.93
2022-03-29,5.90,11.4,1.46
2022-03-30,16.80,10.1,1.39
2022-03-31,1.10,5.6,1.32
2022-04-01,3.40,2.4,1.35
2022-04-02,0.00,3.3,2.34
2022-04-03,0.00,3.8,2.22
2022-04-04,0.10,4.6,1.87
2022-04-05,1.00,10.0,1.25
2022-04-06,0.50,9.7,1.67
2022-04-07,2.80,11.3,2.17
2022-04-08,30.80,6.3,0.90
2022-04-09,1.40,5.5,1.87
2022-04-10,0.00,6.5,2.90
2022-04-11,0.00,10.8,3.33
2022-04-12,0.00,14.4,2.97
2022-04-13,7.90,13.1,1.41
2022-04-14,0.30,13.7,3.02
2022-04-15,0.00,13.7,3.42
2022-04-16,0.00,12.8,3.46
2022-04-17,0.00,12.2,3.94
2022-04-18,0.00,12.4,3.28
2022-04-19,0.20,12.0,3.11
2022-04-20,0.00,12.4,3.85
2022-04-21,0.00,12.7,4.19
2022-04-22,0.00,13.8,3.82
2022-04-23,1.90,13.3,2.86
2022-04-24,0.20,13.4,3.26
2022-04-25,1.10,12.1,3.54
2022-04-26,0.20,10.4,2.53
2022-04-27,0.00,11.7,3.41
2022-04-28,0.00,14.2,4.26
2022-04-29,4.40,13.7,3.69
2022-04-30,0.00,11.2,3.37
2022-05-01,0.00,10.7,3.09
2022-05-02,0.10,12.9,3.05
2022-05-03,0.00,13.9,4.05
2022-05-04,0.00,12.9,2.56
2022-05-05,0.30,13.4,2.94
2022-05-06,0.00,15.0,4.02
2022-05-07,0.90,15.0,3.39
2022-05-08,0.20,15.8,4.15
2022-05-09,0.00,17.2,4.44
2022-05-10,0.00,19.9,4.98
2022-05-11,0.00,18.5,5.06
2022-05-12,0.00,16.1,3.58
2022-05-13,0.00,14.9,4.60
2022-05-14,0.00,16.0,4.60
2022-05-15,0.50,20.5,5.40
2022-05-16,0.50,20.0,4.52
2022-05-17,0.90,22.1,5.16
2022-05-18,0.00,21.7,5.13
2022-05-19,0.60,21.6,4.19
2022-05-20,20.20,17.4,2.28
2022-05-21,0.00,16.8,3.83
2022-05-22,0.10,18.2,3.75
2022-05-23,9.00,16.7,1.88
2022-05-24,9.70,13.5,3.45
2022-05-25,0.00,14.5,4.13
2022-05-26,0.20,16.3,3.12
2022-05-27,0.90,15.7,3.08
2022-05-28,0.10,14.3,4.27
2022-05-29,0.20,11.8,3.10
2022-05-30,0.00,12.7,3.54
2022-05-31,0.10,15.1,4.50
2022-06-01,0.00,14.9,4.90
2022-06-02,0.00,17.1,5.35
2022-06-03,5.90,17.9,3.22
2022-06-04,3.40,19.9,4.35
2022-06-05,3.40,18.8,3.89
2022-06-06,0.40,16.4,3.49
2022-06-07,1.80,17.4,3.62
2022-06-08,23.50,16.6,3.07
2022-06-09,0.10,15.9,3.80
2022-06-10,0.00,18.0,3.83
2022-06-11,0.00,19.1,4.64
2022-06-12,0.00,17.5,5.21
2022-06-13,0.00,16.5,5.04
2022-06-14,0.00,18.6,5.39
2022-06-15,0.00,21.7,5.97
2022-06-16,0.00,22.2,6.10
2022-06-17,0.00,24.6,5.98
2022-06-18,0.00,28.0,7.19
2022-06-19,1.70,20.9,4.97
2022-06-20,20.40,17.9,3.72
2022-06-21,1.60,19.1,4.74
2022-06-22,0.20,19.4,3.33
2022-06-23,6.30,21.3,4.78
2022-06-24,4.00,19.8,4.26
2022-06-25,10.20,16.7,1.63
2022-06-26,0.60,16.3,3.63
2022-06-27,3.70,17.2,3.97
2022-06-28,0.00,18.4,5.16
2022-06-29,0.00,18.7,5.01
2022-06-30,10.60,15.3,1.54
2022-07-01,0.20,15.8,3.72
2022-07-02,0.00,18.0,5.27
2022-07-03,0.00,17.9,5.04
2022-07-04,0.00,18.0,5.39
2022-07-05,0.00,18.2,5.45
2022-07-06,0.00,18.7,4.84
2022-07-07,0.10,18.7,3.81
2022-07-08,0.00,18.4,5.49
2022-07-09,0.00,21.3,5.94
2022-07-10,0.00,19.8,5.92
2022-07-11,0.00,22.4,6.22
2022-07-12,0.00,24.5,5.86
2022-07-13,0.00,26.8,6.50
2022-07-14,0.00,24.3,6.88
2022-07-15,0.00,21.0,6.30
2022-07-16,0.00,21.7,6.43
2022-07-17,0.00,23.7,6.74
2022-07-18,0.00,27.5,6.98
2022-07-19,0.00,30.3,9.15
2022-07-20,12.70,21.5,2.93
2022-07-21,0.10,20.8,3.95
2022-07-22,7.40,20.3,2.78
2022-07-23,2.60,21.0,4.05
2022-07-24,0.00,23.5,5.70
2022-07-25,1.20,22.4,5.11
2022-07-26,0.30,19.0,3.39
2022-07-27,0.00,19.4,4.31
2022-07-28,0.20,20.4,4.85
2022-07-29,0.00,22.0,5.31
2022-07-30,0.00,23.6,5.43
2022-07-31,0.00,22.4,4.79
2022-08-01,0.20,21.7,3.47
2022-08-02,0.00,23.1,5.13
2022-08-03,0.00,26.5,5.47
2022-08-04,1.90,23.7,4.57
2022-08-05,3.20,20.5,4.89
2022-08-06,0.00,18.5,6.06
2022-08-07,0.00,20.1,6.24
2022-08-08,0.00,21.4,6.47
2022-08-09,0.00,23.3,6.66
2022-08-10,0.00,25.5,7.20
2022-08-11,0.00,25.4,7.26
2022-08-12,0.00,25.4,6.79
2022-08-13,0.00,25.2,6.59
2022-08-14,3.40,21.6,2.83
2022-08-15,2.70,20.6,3.28
2022-08-16,17.20,20.5,2.66
2022-08-17,5.90,20.4,3.07
2022-08-18,5.80,20.7,3.79
2022-08-19,4.70,20.0,2.58
2022-08-20,0.00,18.6,4.01
2022-08-21,0.00,19.7,3.84
2022-08-22,0.00,21.1,3.24
2022-08-23,0.20,22.9,3.40
2022-08-24,0.00,24.3,4.67
2022-08-25,0.20,23.5,4.73
2022-08-26,0.60,21.3,4.22
2022-08-27,0.00,20.0,4.58
2022-08-28,0.00,20.1,3.70
2022-08-29,0.00,22.2,5.39
2022-08-30,1.50,20.9,3.67
2022-08-31,0.00,21.3,4.30
2022-09-01,0.00,22.0,3.96
2022-09-02,3.20,19.9,2.47
2022-09-03,3.10,19.1,2.74
2022-09-04,0.00,21.5,4.30
2022-09-05,0.30,21.9,3.57
2022-09-06,8.20,20.6,3.48
2022-09-07,6.10,18.1,2.17
2022-09-08,1.30,17.6,3.08
2022-09-09,6.70,17.0,2.80
2022-09-10,2.10,16.3,1.63
2022-09-11,0.00,16.3,2.79
2022-09-12,0.00,19.1,3.59
2022-09-13,1.80,20.5,2.24
2022-09-14,6.70,20.9,2.63
2022-09-15,0.90,18.4,2.78
2022-09-16,0.50,14.6,2.38
2022-09-17,0.00,11.8,2.77
2022-09-18,0.00,12.6,2.87
2022-09-19,0.00,12.9,2.64
2022-09-20,0.00,12.3,2.19
2022-09-21,0.00,12.8,2.62
2022-09-22,0.00,12.8,2.67
2022-09-23,0.00,14.3,1.79
2022-09-24,3.00,14.1,1.32
2022-09-25,0.00,13.8,2.37
2022-09-26,5.90,12.4,1.47
2022-09-27,4.80,11.5,1.20
2022-09-28,2.40,11.9,1.68
2022-09-29,0.90,10.9,1.45
2022-09-30,0.50,11.6,2.61
2022-10-01,7.00,16.1,2.66
2022-10-02,12.40,15.5,1.16
2022-10-03,0.00,12.0,1.50
2022-10-04,0.00,12.6,1.96
2022-10-05,0.00,16.0,2.54
2022-10-06,0.00,14.1,2.06
2022-10-07,0.00,11.9,1.89
2022-10-08,0.00,12.6,1.97
2022-10-09,0.00,10.9,2.03
2022-10-10,2.50,14.0,1.48
2022-10-11,0.00,12.4,1.95
2022-10-12,0.00,11.8,1.68
2022-10-13,10.10,13.8,0.73
2022-10-14,5.20,15.1,0.52
2022-10-15,2.60,16.1,1.40
2022-10-16,0.50,16.4,1.11
2022-10-17,13.70,17.1,0.71
2022-10-18,1.40,16.8,1.24
2022-10-19,0.10,17.2,1.77
2022-10-20,4.50,17.4,1.68
2022-10-21,12.60,16.5,1.68
2022-10-22,0.00,16.1,1.73
2022-10-23,1.20,17.6,2.23
2022-10-24,0.70,16.4,2.49
2022-10-25,0.10,14.9,1.38
2022-10-26,2.20,17.1,1.77
2022-10-27,0.00,17.2,1.55
2022-10-28,0.00,18.7,2.07
2022-10-29,0.00,18.7,1.88
2022-10-30,0.30,14.6,1.05
2022-10-31,6.10,15.0,1.51
2022-11-01,0.60,14.2,2.11
2022-11-02,0.00,12.5,1.55
2022-11-03,6.70,12.0,0.89
2022-11-04,6.00,9.6,0.92
2022-11-05,0.20,8.6,0.68
2022-11-06,15.10,10.3,0.77
2022-11-07,0.00,13.0,1.24
2022-11-08,1.70,13.3,1.50
2022-11-09,1.20,12.5,1.10
2022-11-10,0.00,9.7,0.79
2022-11-11,0.00,8.7,0.70
2022-11-12,0.00,10.2,0.87
2022-11-13,0.00,9.0,0.75
2022-11-14,0.00,9.6,0.65
2022-11-15,6.50,10.8,0.47
2022-11-16,6.20,10.7,0.84
2022-11-17,1.30,11.7,1.56
2022-11-18,0.50,8.6,0.71
2022-11-19,0.40,6.9,0.74
2022-11-20,1.80,6.7,0.48
2022-11-21,6.40,7.2,0.38
2022-11-22,3.80,7.5,1.04
2022-11-23,2.80,7.9,0.69
2022-11-24,0.30,9.8,1.10
2022-11-25,3.90,9.1,0.67
2022-11-26,0.00,6.1,0.34
2022-11-27,6.80,7.5,0.42
2022-11-28,5.50,8.5,0.49
2022-11-29,1.60,6.3,0.32
2022-11-30,0.00,6.2,0.34
2022-12-01,0.00,5.1,0.40
2022-12-02,1.50,4.4,0.36
2022-12-03,0.10,3.2,0.45
2022-12-04,1.40,2.6,0.35
2022-12-05,2.40,2.2,0.23
2022-12-06,0.00,2.6,0.24
